Date,Close/Last,Volume,Open,High,Low
12/26/2019,$331.34 ,865858,$335.51 ,$336.00 ,$330.14 
12/24/2019,$335.49 ,364117,$330.41 ,$336.63 ,$330.41 
12/23/2019,$334.02 ,1000679,$329.72 ,$334.32 ,$328 
12/20/2019,$330.14 ,1794816,$326.75 ,$331.16 ,$324.79 
12/19/2019,$325.20 ,699597,$325.23 ,$326.27 ,$318.08 
12/18/2019,$325.23 ,861869,$323.54 ,$326.60 ,$320.75 
12/17/2019,$323.45 ,685911,$328 ,$328 ,$320.51 
12/16/2019,$327.74 ,806901,$327.35 ,$328.85 ,$325.17 
12/13/2019,$324.72 ,622971,$322.62 ,$326.03 ,$319.57 
12/12/2019,$321.99 ,791555,$320.89 ,$324.93 ,$319 
12/11/2019,$320.57 ,799258,$326 ,$326 ,$317.44 
12/10/2019,$326.94 ,789580,$326.01 ,$329.30 ,$324.11 
12/9/2019,$326.59 ,798828,$326.19 ,$328.05 ,$323.60 
12/6/2019,$326.47 ,935947,$321 ,$328.39 ,$319.64 
12/5/2019,$319.81 ,472954,$320 ,$321.34 ,$318.99 
12/4/2019,$319.68 ,704593,$321.69 ,$322.42 ,$319.36 
12/3/2019,$322.97 ,677631,$317.52 ,$323.37 ,$315.52 
12/2/2019,$319.67 ,833662,$320.33 ,$321.82 ,$316.77 
11/29/2019,$320.76 ,444444,$320 ,$322.78 ,$318.62 
11/27/2019,$320.94 ,719927,$319.82 ,$321.10 ,$318.84 
11/26/2019,$319.41 ,1090820,$317 ,$321.23 ,$315.27 
11/25/2019,$317.23 ,713281,$315.52 ,$318 ,$314.21 
11/22/2019,$315.62 ,604861,$313.86 ,$316 ,$312.06 
11/21/2019,$312.85 ,576766,$313.94 ,$314.67 ,$309.36 
11/20/2019,$314.91 ,1073666,$308.61 ,$315.79 ,$308.39 
11/19/2019,$311.01 ,862293,$307.31 ,$313.84 ,$307 
11/18/2019,$306.67 ,996649,$305.90 ,$306.85 ,$301.93 
11/15/2019,$305.99 ,750203,$301.05 ,$306.49 ,$299.24 
11/14/2019,$298.44 ,562136,$299.56 ,$300.24 ,$294.90 
11/13/2019,$298.22 ,382784,$295.29 ,$298.65 ,$294.24 
11/12/2019,$295.73 ,607248,$295.87 ,$299 ,$294.25 
11/11/2019,$295 ,743530,$293.02 ,$295.62 ,$290.82 
11/8/2019,$293.39 ,935817,$293 ,$294.95 ,$290.26 
11/7/2019,$295.25 ,932644,$299.35 ,$299.82 ,$293.33 
11/6/2019,$297.25 ,826878,$300.90 ,$301.33 ,$293.06 
11/5/2019,$300.87 ,754694,$305.06 ,$307.32 ,$300.64 
11/4/2019,$303.68 ,739444,$302.97 ,$305.46 ,$300.14 
11/1/2019,$300.45 ,903524,$297.28 ,$303.79 ,$296.84 
10/31/2019,$295.52 ,905544,$296.34 ,$300.34 ,$291.95 
10/30/2019,$296.51 ,1095058,$301.58 ,$302.22 ,$292.90 
10/29/2019,$301.79 ,1042067,$303 ,$307.84 ,$300 
10/28/2019,$304.06 ,2371542,$292.93 ,$311.14 ,$291.48 
10/25/2019,$290.64 ,4902488,$298.85 ,$299.46 ,$279.76 
10/24/2019,$315.50 ,1089064,$313.37 ,$315.80 ,$309.01 
10/23/2019,$312.59 ,661125,$309.77 ,$315.63 ,$308.54 
10/22/2019,$309.05 ,721452,$314.38 ,$317.71 ,$308.36 
10/21/2019,$313.83 ,634679,$309.75 ,$314.97 ,$309.75 
10/18/2019,$309.44 ,598072,$311.26 ,$312.48 ,$307.18 
10/17/2019,$310.55 ,595213,$311.84 ,$312.70 ,$309.20 
10/16/2019,$309.67 ,657467,$311.98 ,$312.86 ,$307.64 
10/15/2019,$312.17 ,624770,$309.97 ,$313.24 ,$308.84 
10/14/2019,$310.31 ,766845,$302.62 ,$310.42 ,$302.49 
10/11/2019,$302.58 ,681422,$302.34 ,$307.50 ,$302.10 
10/10/2019,$298.18 ,525423,$296.80 ,$299.69 ,$295 
10/9/2019,$296.96 ,879853,$291.42 ,$299.10 ,$291.40 
10/8/2019,$288.36 ,1105007,$297.66 ,$300.76 ,$286 
10/7/2019,$301.63 ,540981,$300.68 ,$305.50 ,$299.03 
10/4/2019,$302.34 ,681466,$296.58 ,$302.55 ,$296.51 
10/3/2019,$297 ,856350,$288 ,$297 ,$286.05 
10/2/2019,$288.29 ,1341341,$294.90 ,$295.32 ,$285.67 
10/1/2019,$296.02 ,766592,$304.22 ,$308.33 ,$295.48 
9/30/2019,$304.22 ,649990,$300.82 ,$306.06 ,$300.01 
9/27/2019,$301.28 ,644092,$301.62 ,$304.13 ,$298.38 
9/26/2019,$298.68 ,625480,$299.88 ,$302.31 ,$297.42 
9/25/2019,$300.15 ,707445,$295.72 ,$301.51 ,$292.51 
9/24/2019,$295.28 ,1355363,$307.05 ,$307.37 ,$293.84 
9/23/2019,$305.83 ,737658,$307.73 ,$309.48 ,$304.80 
9/20/2019,$309.57 ,1785335,$303.47 ,$310.43 ,$302.82 
9/19/2019,$305.20 ,794832,$301.20 ,$306.74 ,$301.20 
9/18/2019,$303.01 ,958238,$298.69 ,$303.13 ,$297.78 
9/17/2019,$298.27 ,973879,$301.17 ,$303.75 ,$297.24 
9/16/2019,$300.89 ,1000158,$299.19 ,$303.18 ,$296.80 
9/13/2019,$300.91 ,1261318,$297.86 ,$303.68 ,$297.81 
9/12/2019,$297.52 ,1961483,$292.20 ,$300.29 ,$291.95 
9/11/2019,$289.66 ,1824695,$278.39 ,$289.87 ,$277.83 
9/10/2019,$276.04 ,1295045,$264.56 ,$277.46 ,$263.30 
9/9/2019,$266.84 ,1571479,$271.50 ,$272.25 ,$265.41 
9/6/2019,$270 ,1350711,$271.26 ,$272.96 ,$269.63 
9/5/2019,$271.78 ,1734395,$274.62 ,$274.62 ,$271.16 
9/4/2019,$271.71 ,1345454,$274 ,$274.69 ,$268 
9/3/2019,$272.18 ,1402218,$279.88 ,$280.36 ,$269.86 
8/30/2019,$281.34 ,665770,$285.42 ,$286.29 ,$280.09 
8/29/2019,$285.06 ,591192,$285.69 ,$286.71 ,$283.38 
8/28/2019,$281.62 ,620307,$283.41 ,$284.48 ,$281.08 
8/27/2019,$285.02 ,659440,$284.56 ,$289 ,$283.25 
8/26/2019,$282.28 ,809560,$281.93 ,$282.78 ,$279.20 
8/23/2019,$279.44 ,1223624,$288.94 ,$289.44 ,$278.12 
8/22/2019,$288.58 ,449717,$290.27 ,$291.36 ,$285.71 
8/21/2019,$290.50 ,505605,$285.54 ,$290.63 ,$284.71 
8/20/2019,$284.65 ,621607,$288.65 ,$290 ,$284.51 
8/19/2019,$288.65 ,715458,$290 ,$290 ,$286.59 
8/16/2019,$286.17 ,926672,$288.17 ,$291.36 ,$285.49 
8/15/2019,$284.77 ,715623,$286.81 ,$287.42 ,$282.41 
8/14/2019,$285.07 ,1033766,$288.36 ,$289.45 ,$284.14 
8/13/2019,$293.99 ,821690,$289.53 ,$297.88 ,$288.01 
8/12/2019,$290.34 ,746943,$292.09 ,$294.10 ,$288.73 
8/9/2019,$294 ,829637,$298.54 ,$299.40 ,$292.36 
8/8/2019,$298.44 ,824830,$293.09 ,$298.72 ,$291.40 
8/7/2019,$292.87 ,839734,$290.07 ,$293.77 ,$285.59 
8/6/2019,$291.94 ,991792,$291.34 ,$292.45 ,$285.37 
8/5/2019,$289.06 ,1299997,$292.75 ,$294.66 ,$286.76 
8/2/2019,$297.38 ,1047616,$301 ,$301 ,$292.58 
8/1/2019,$301.66 ,1244960,$300 ,$306.07 ,$298.63 
7/31/2019,$299.38 ,1747784,$300.76 ,$303.94 ,$296.40 
7/30/2019,$299.96 ,2354491,$298.86 ,$304 ,$294.83 
7/29/2019,$304.41 ,1122162,$301.34 ,$305.30 ,$298.88 
7/26/2019,$300.90 ,909601,$300 ,$302.98 ,$296.08 
7/25/2019,$298.60 ,834379,$304.73 ,$304.73 ,$297.92 
7/24/2019,$304.01 ,929074,$304 ,$306.93 ,$301.97 
7/23/2019,$304.64 ,1438591,$300 ,$305.77 ,$297.07 
7/22/2019,$298.28 ,1230419,$294.56 ,$299.36 ,$293.87 
7/19/2019,$293.20 ,1733987,$297.79 ,$298.20 ,$291 
7/18/2019,$298.55 ,1620592,$303 ,$304.93 ,$295.95 
7/17/2019,$302.90 ,1270059,$302.30 ,$305.11 ,$302.09 
7/16/2019,$302.30 ,1840869,$303.10 ,$306 ,$301.46 
7/15/2019,$302.29 ,3522854,$305.17 ,$306.90 ,$300.52 
7/12/2019,$305.05 ,8475817,$310.25 ,$312.47 ,$303.92 
7/11/2019,$363.66 ,1837247,$371.31 ,$371.31 ,$359.03 
7/10/2019,$372.70 ,1234342,$376.50 ,$380.76 ,$371.38 
7/9/2019,$377.24 ,940498,$372.65 ,$377.66 ,$368.79 
7/8/2019,$375.12 ,754776,$377.59 ,$378 ,$372.10 
7/5/2019,$378.23 ,599633,$378.83 ,$379.54 ,$373.65 
7/3/2019,$377.82 ,540947,$372.15 ,$378.17 ,$371.62 
7/2/2019,$371.37 ,487198,$372 ,$372.48 ,$365.31 
